:START_ID,:END_ID,:TYPE
e2199,e24163,藏品等级
e2199,e23822,现藏博物馆
e2199,e24076,类型
e2200,e24704,年代
e2200,e24163,藏品等级
e2200,e23822,现藏博物馆
e2200,e24739,类型
e2201,e23970,年代
e2201,e23822,现藏博物馆
e2201,e24254,藏品材质
e2202,e23491,年代
e2202,e23822,现藏博物馆
e2202,e23967,藏品材质
e2203,e23827,年代
e2203,e23822,现藏博物馆
e2203,e23348,藏品材质
e2204,e24657,年代
e2204,e23822,现藏博物馆
e2204,e24235,藏品材质
e2205,e23419,年代
e2205,e23822,现藏博物馆
e2205,e24596,藏品材质
e2206,e24657,年代
e2206,e23822,现藏博物馆
e2206,e24254,藏品材质
e2207,e23827,年代
e2207,e23822,现藏博物馆
e2207,e23585,藏品材质
e2208,e23687,年代
e2208,e23822,现藏博物馆
e2208,e24074,藏品材质
e2209,e23454,年代
e2209,e23822,现藏博物馆
e2209,e24596,藏品材质
e2210,e24798,年代
e2210,e23822,现藏博物馆
e2210,e24575,藏品材质
e2211,e24225,年代
e2211,e23822,现藏博物馆
e2211,e23894,藏品材质
e2212,e24525,年代
e2212,e23822,现藏博物馆
e2212,e24043,藏品材质
e2213,e24417,年代
e2213,e23822,现藏博物馆
e2213,e24596,藏品材质
e2214,e24021,年代
e2214,e23822,现藏博物馆
e2214,e23677,藏品材质
e2215,e24036,年代
e2215,e23822,现藏博物馆
e2215,e23999,藏品材质
e2216,e24225,年代
e2216,e23822,现藏博物馆
e2216,e24412,藏品材质
e2217,e23419,年代
e2217,e23822,现藏博物馆
e2217,e23612,藏品材质
e2218,e24794,年代
e2218,e23822,现藏博物馆
e2218,e23562,藏品材质
e2219,e24227,年代
e2219,e23822,现藏博物馆
e2219,e23581,藏品材质
e2220,e24059,年代
e2220,e23822,现藏博物馆
e2220,e24315,藏品材质
e2221,e23419,年代
e2221,e23822,现藏博物馆
e2221,e24596,藏品材质
e2222,e24548,年代
e2222,e23822,现藏博物馆
e2222,e23837,藏品材质
e2223,e24798,年代
e2223,e23822,现藏博物馆
e2223,e24575,藏品材质
e2224,e23359,年代
e2224,e23822,现藏博物馆
e2224,e24651,藏品材质
e2225,e23520,年代
e2225,e23822,现藏博物馆
e2225,e24055,藏品材质
e2226,e23687,年代
e2226,e23822,现藏博物馆
e2226,e24230,藏品材质
e2227,e23822,现藏博物馆
e2227,e24299,藏品材质
e2228,e24417,年代
e2228,e23822,现藏博物馆
e2228,e24785,藏品材质
e2229,e23872,年代
e2229,e23822,现藏博物馆
e2229,e23386,藏品材质
e2230,e24616,年代
e2230,e24163,藏品等级
e2230,e23822,现藏博物馆
e2230,e24739,类型
e2231,e23374,年代
e2231,e23822,现藏博物馆
e2231,e23969,藏品材质
e2232,e23930,年代
e2232,e23822,现藏博物馆
e2232,e24664,藏品材质
e2233,e23822,现藏博物馆
e2234,e24059,年代
e2234,e23822,现藏博物馆
e2234,e23755,藏品材质
e2235,e24778,年代
e2235,e23822,现藏博物馆
e2235,e24283,藏品材质
e2236,e24817,年代
e2236,e23822,现藏博物馆
e2236,e24345,藏品材质
e2237,e24526,年代
e2237,e24163,藏品等级
e2237,e23822,现藏博物馆
e2237,e23831,类型
e2238,e23518,年代
e2238,e24163,藏品等级
e2238,e23822,现藏博物馆
e2238,e23831,类型
e2239,e24794,年代
e2239,e23822,现藏博物馆
e2239,e24575,藏品材质
e2240,e24582,年代
e2240,e23822,现藏博物馆
e2240,e23540,藏品材质
e2241,e23419,年代
e2241,e23822,现藏博物馆
e2241,e24601,藏品材质
e2242,e23419,年代
e2242,e23822,现藏博物馆
e2242,e24235,藏品材质
e2243,e24794,年代
e2243,e23822,现藏博物馆
e2243,e24785,藏品材质
e2244,e23687,年代
e2244,e23822,现藏博物馆
e2244,e24535,藏品材质
e2245,e23419,年代
e2245,e23822,现藏博物馆
e2245,e24254,藏品材质
e2246,e23546,年代
e2246,e23822,现藏博物馆
e2246,e23990,藏品材质
e2247,e23687,年代
e2247,e23822,现藏博物馆
e2247,e23444,藏品材质
e2248,e24794,年代
e2248,e23822,现藏博物馆
e2248,e24050,藏品材质
e2249,e24417,年代
e2249,e23822,现藏博物馆
e2249,e24785,藏品材质
e2250,e23827,年代
e2250,e23822,现藏博物馆
e2250,e24631,藏品材质
e2251,e24657,年代
e2251,e23822,现藏博物馆
e2251,e24074,藏品材质
e2252,e24317,年代
e2252,e23822,现藏博物馆
e2252,e23555,藏品材质
e2253,e24655,年代
e2253,e23822,现藏博物馆
e2253,e24254,藏品材质
e2254,e24655,年代
e2254,e23822,现藏博物馆
e2254,e24254,藏品材质
e2255,e24688,年代
e2255,e23822,现藏博物馆
e2255,e24812,藏品材质
e2256,e24794,年代
e2256,e23822,现藏博物馆
e2256,e24785,藏品材质
e2257,e24657,年代
e2257,e23822,现藏博物馆
e2257,e23976,藏品材质
e2258,e24359,年代
e2258,e23822,现藏博物馆
e2258,e24596,藏品材质
e2259,e24657,年代
e2259,e23822,现藏博物馆
e2259,e24235,藏品材质
e2260,e24657,年代
e2260,e23822,现藏博物馆
e2260,e24254,藏品材质
e2261,e24709,年代
e2261,e23822,现藏博物馆
e2261,e23386,藏品材质
e2262,e24657,年代
e2262,e23822,现藏博物馆
e2262,e24235,藏品材质
e2263,e24798,年代
e2263,e23822,现藏博物馆
e2263,e24508,藏品材质
e2264,e24059,年代
e2264,e23822,现藏博物馆
e2264,e24651,藏品材质
e2265,e24111,年代
e2265,e23822,现藏博物馆
e2265,e24304,藏品材质
e2266,e23419,年代
e2266,e23822,现藏博物馆
e2266,e23965,藏品材质
e2267,e23822,现藏博物馆
e2267,e23683,藏品材质
e2268,e24227,年代
e2268,e23822,现藏博物馆
e2268,e23786,藏品材质
e2269,e24657,年代
e2269,e23822,现藏博物馆
e2269,e24651,藏品材质
e2270,e24683,年代
e2270,e23822,现藏博物馆
e2270,e23610,藏品材质
e2271,e24417,年代
e2271,e23822,现藏博物馆
e2271,e24785,藏品材质
e2272,e24440,年代
e2272,e23822,现藏博物馆
e2272,e24596,藏品材质
e2273,e24364,年代
e2273,e24163,藏品等级
e2273,e23822,现藏博物馆
e2273,e24076,类型
e2274,e24059,年代
e2274,e23822,现藏博物馆
e2274,e23755,藏品材质
e2275,e23536,年代
e2275,e23822,现藏博物馆
e2275,e24785,藏品材质
e2276,e23975,年代
e2276,e23822,现藏博物馆
e2276,e24235,藏品材质
e2277,e24501,年代
e2277,e24480,藏品等级
e2277,e23822,现藏博物馆
e2277,e23755,藏品材质
e2278,e23647,年代
e2278,e24163,藏品等级
e2278,e23822,现藏博物馆
e2278,e24383,类型
e2279,e24806,年代
e2279,e23440,藏品等级
e2279,e23822,现藏博物馆
e2280,e24036,年代
e2280,e23822,现藏博物馆
e2280,e23485,藏品材质
e2281,e23938,年代
e2281,e23822,现藏博物馆
e2281,e24601,藏品材质
e2282,e24798,年代
e2282,e23822,现藏博物馆
e2282,e24785,藏品材质
e2283,e23827,年代
e2283,e23822,现藏博物馆
e2283,e24406,藏品材质
e2284,e24683,年代
e2284,e23822,现藏博物馆
e2284,e24235,藏品材质
e2285,e23938,年代
e2285,e23822,现藏博物馆
e2285,e24399,藏品材质
e2286,e24339,年代
e2286,e23822,现藏博物馆
e2286,e24254,藏品材质
e2287,e23419,年代
e2287,e23822,现藏博物馆
e2287,e24399,藏品材质
e2288,e24417,年代
e2288,e23822,现藏博物馆
e2288,e24785,藏品材质
e2289,e24271,年代
e2289,e23822,现藏博物馆
e2289,e23548,藏品材质
e2290,e23419,年代
e2290,e23822,现藏博物馆
e2290,e24399,藏品材质
e2291,e24548,年代
e2291,e23822,现藏博物馆
e2291,e24280,藏品材质
e2292,e24794,年代
e2292,e23822,现藏博物馆
e2292,e24050,藏品材质
e2293,e24709,年代
e2293,e23822,现藏博物馆
e2293,e24345,藏品材质
e2294,e24794,年代
