id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
5749,唐执扇侍女图,唐,无,一级,无,陕西博物馆,无,长*cm，宽146cm，35.000kg,壁画,无,https://www.sxhm.com/collections/detail/10064.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad72101a6.jpg
5750,新石器时代齐家文化双耳罐,新石器时代,无,三级,无,陕西博物馆,无,高18.5cm，口径12.2cm，cm，0.830kg,陶器,无,https://www.sxhm.com/collections/detail/10065.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad88cc7a5.jpg
5751,唐持拂尘侍女图,唐,无,一级,无,陕西博物馆,无,长51cm，宽92cm，18.000kg,壁画,无,https://www.sxhm.com/collections/detail/10066.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad929fcfb.jpg
5752,唐树下侍女屏风图,唐,无,一级,无,陕西博物馆,无,长59cm，宽159cm，20.500kg,壁画,无,https://www.sxhm.com/collections/detail/10067.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401adb0ed760.jpg
5753,新石器时代仰韶文化红陶缽,新石器时代,无,三级,无,陕西博物馆,无,高13cm，口径27cm，1.520kg,陶器,无,https://www.sxhm.com/collections/detail/10068.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401adb53dca8.jpg
5754,唐托盘侍女图,唐,无,一级,无,陕西博物馆,无,长96cm，宽180cm，34.000kg,壁画,无,https://www.sxhm.com/collections/detail/10069.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401adcb0a673.jpg
5755,新石器时代双耳陶瓶,新石器时代,无,三级,无,陕西博物馆,无,高33.5cm，口径5.5cm，1.545kg,陶器,无,https://www.sxhm.com/collections/detail/10070.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401addea1ef9.jpg
5756,唐侍女图,唐,无,一级,无,陕西博物馆,无,长61cm，宽137cm，24.000kg,壁画,无,https://www.sxhm.com/collections/detail/10071.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401adeb472bd.jpg
5757,唐捧盆景侍女图,唐,无,一级,无,陕西博物馆,无,长168cm，宽118cm，32.000kg,壁画,无,https://www.sxhm.com/collections/detail/10072.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ae0529cbd.jpg
5758,新石器时代双耳罐,新石器时代,无,三级,无,陕西博物馆,无,高40.8cm，口径12cm，4.395kg,陶器,无,https://www.sxhm.com/collections/detail/10073.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ae0864888.jpg
5759,唐男侍图,唐,无,三级,无,陕西博物馆,无,长39cm，宽111cm，45.000kg,壁画,无,https://www.sxhm.com/collections/detail/10074.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ae24314d3.jpg
5760,新石器时代彩绘陶壶,新石器时代,无,三级,无,陕西博物馆,无,高34cm，口径10.5cm，2.665kg,陶器,无,https://www.sxhm.com/collections/detail/10075.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ae2f82dc5.jpg
