id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
62,"《""三八""国际劳动妇女节一百周年》纪念邮票",中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681178715066368,https://www.chnmus.net/webfile/collection_img/_45262_/41000002_45262_B_1.JPG
63,《清明节》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681179574898688,https://www.chnmus.net/webfile/collection_img/_45264_/41000002_45264_B_1.JPG
64,《昆曲》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681182317973504,https://www.chnmus.net/webfile/collection_img/_45270_/41000002_45270_B_1.JPG
65,《成语典故(二)》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681180006912000,https://www.chnmus.net/webfile/collection_img/_45265_/41000002_45265_B_1.JPG
66,《节能减排 保护环境》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681181869182976,https://www.chnmus.net/webfile/collection_img/_45269_/41000002_45269_B_1.JPG
67,《富春山居图》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681179172245504,https://www.chnmus.net/webfile/collection_img/_45263_/41000002_45263_B_1.JPG
68,《梁平木版年画》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681177469358080,https://www.chnmus.net/webfile/collection_img/_45259_/41000002_45259_B_1.JPG
69,《上海世博园》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681176643080192,https://www.chnmus.net/webfile/collection_img/_45257_/41000002_45257_B_1.JPG
70,《上海世博园》特种邮票小型张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681177041539072,https://www.chnmus.net/webfile/collection_img/_45258_/41000002_45258_B_1.JPG
71,《梁平木版年画》特种邮票小全张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681177892982784,https://www.chnmus.net/webfile/collection_img/_45260_/41000002_45260_B_1.JPG
72,《中国芭蕾--红色娘子军》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681178304024576,https://www.chnmus.net/webfile/collection_img/_45261_/41000002_45261_B_1.JPG
73,《宋任穷同志诞生一百周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681176240427008,https://www.chnmus.net/webfile/collection_img/_45256_/41000002_45256_B_1.JPG
74,杨明国画《运势如鸿》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681175242182656,https://www.chnmus.net/webfile/collection_img/_45192_/41000002_45192_A_1.JPG
75,陈天铀国画《塞外秋来风景异》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681174805975040,https://www.chnmus.net/webfile/collection_img/_45191_/41000002_45191_A_1.JPG
76,杨明国画《雪域的呼唤》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681175728721920,https://www.chnmus.net/webfile/collection_img/_45193_/41000002_45193_A_1.JPG
77,《古田会议》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681174357184512,https://www.chnmus.net/webfile/collection_img/_45190_/41000002_45190_A_1.JPG
78,《广济桥》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681172985647104,https://www.chnmus.net/webfile/collection_img/_45187_/41000002_45187_A_1.JPG
79,《京杭大运河》特种邮票小型张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681170284515328,https://www.chnmus.net/webfile/collection_img/_45181_/41000002_45181_A_1.JPG
80,《中华人民共和国第十一届运动会》纪念邮票小全张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681171203067904,https://www.chnmus.net/webfile/collection_img/_45183_/41000002_45183_A_1.JPG
81,《澳门回归十周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681173891616768,https://www.chnmus.net/webfile/collection_img/_45189_/41000002_45189_A_1.JPG
82,《中华人民共和国第十一届运动会》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681170745888768,https://www.chnmus.net/webfile/collection_img/_45182_/41000002_45182_A_1.JPG
83,《马连良舞台艺术》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681173447020544,https://www.chnmus.net/webfile/collection_img/_45188_/41000002_45188_A_1.JPG
84,《古代书院》(二)特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681172553633792,https://www.chnmus.net/webfile/collection_img/_45186_/41000002_45186_A_1.JPG
