id,name,time,leve,location(仅镇馆之宝有),size,material,describe(仅镇馆之宝有),relic_url,img_url
6318,清漆盘,清,三级,,长39cm，宽23cm，0.361kg,其他,,https://www.sxhm.com/collections/detail/11388.html,htps:/Uploads/Picture/2023/04/13/s6437b5488e609.jpg
6319,清二十八星宿纹铜香炉,清,一般,,通高27.1cm，口径19.3cm，7.150kg,铜器,,https://www.sxhm.com/collections/detail/11389.html,htps:/Uploads/Picture/2023/04/13/s6437b55c1bfad.JPG
6320,清母牛人物铜像,清,一般,,通高20.9cm，2.135kg,铜器,,https://www.sxhm.com/collections/detail/11390.html,htps:/Uploads/Picture/2023/04/13/s6437b5777abbc.JPG
6321,清金彩人物纹漆瓶,清,三级,,通高21.5cm，口径4.5cm，底径7.6cm，0.103kg,其他,,https://www.sxhm.com/collections/detail/11391.html,htps:/Uploads/Picture/2023/04/13/s6437b58b5611b.JPG
6322,清狮钮铜镇,清,一般,,高8cm，底宽8.2cm，0.880kg,铜器,,https://www.sxhm.com/collections/detail/11392.html,htps:/Uploads/Picture/2023/04/13/s6437b59126ced.JPG
6323,清象首足红木盖铜宣德炉,清,一般,,通高37.2cm，口径28.4cm，12.385kg,铜器,,https://www.sxhm.com/collections/detail/11393.html,htps:/Uploads/Picture/2023/04/13/s6437b5ab0291c.JPG
6324,清变形兽面纹铜壶,清,一般,,高39cm，口径11.5cm，4.165kg,铜器,,https://www.sxhm.com/collections/detail/11394.html,htps:/Uploads/Picture/2023/04/13/s6437b5c6b0d5d.JPG
6325,清变形兽面纹铜壶,清,一般,,高38.5cm，口径11cm，3.775kg,铜器,,https://www.sxhm.com/collections/detail/11395.html,htps:/Uploads/Picture/2023/04/13/s6437b5df3bb5f.JPG
6326,清变形兽面纹铜甗,清,一般,,通高66.7cm，口径39.2cm，22.320kg,铜器,,https://www.sxhm.com/collections/detail/11396.html,htps:/Uploads/Picture/2023/04/13/s6437b5fa063e7.JPG
6327,清金彩人物纹漆瓶,清,三级,,通高21.5cm，口径4.5cm，底径8cm，0.101kg,其他,,https://www.sxhm.com/collections/detail/11397.html,htps:/Uploads/Picture/2023/04/13/s6437b60f87f8f.JPG
6328,清变形兽面纹铜方鼎,清,一般,,通高39.2cm，口径34.4×27.1cm，11.610kg,铜器,,https://www.sxhm.com/collections/detail/11398.html,htps:/Uploads/Picture/2023/04/13/s6437b619cd486.JPG
6329,清佛手形铜薰炉,清,一般,,高18.8cm，长23.8cm，3.485kg,铜器,,https://www.sxhm.com/collections/detail/11399.html,htps:/Uploads/Picture/2023/04/13/s6437b63614d77.JPG
6330,清雕八角盒,清,三级,,直径33cm，0.821kg,其他,,https://www.sxhm.com/collections/detail/11400.html,htps:/Uploads/Picture/2023/04/13/s6437b62da8c18.JPG
6331,清仿西周夔龙纹铜盘,清,一般,,通耳高13.7cm，口径30.8cm，3.880kg,铜器,,https://www.sxhm.com/collections/detail/11401.html,htps:/Uploads/Picture/2023/04/13/s6437b661a3a9b.JPG
6332,清阿拉伯文“正德”款铜香炉,清,一般,,高8cm，口径12.9cm，1.693kg,铜器,,https://www.sxhm.com/collections/detail/11402.html,htps:/Uploads/Picture/2023/04/13/s6437b680e9a30.JPG
6333,清鎏金兽面纹铜簋,清,一般,,高6.8cm，口径10.1cm，0.533kg,铜器,,https://www.sxhm.com/collections/detail/11403.html,htps:/Uploads/Picture/2023/04/13/s6437b69ce4ad9.JPG
6334,清描金空心漆盒,清,三级,,高7cm，0.404kg,其他,,https://www.sxhm.com/collections/detail/11404.html,htps:/Uploads/Picture/2023/04/13/s6437b6a0dc6dc.JPG
6335,清松竹鹿鹤纹铜宣德炉,清,一般,,通高12cm，口径21×16.8cm，1.853kg,铜器,,https://www.sxhm.com/collections/detail/11405.html,htps:/Uploads/Picture/2023/04/13/s6437b6c7270b9.JPG
6336,清铜胎雕漆盒,清,二级,,高5.4cm，口径9cm，腹围29.5cm，0.205kg,其他,,https://www.sxhm.com/collections/detail/11406.html,htps:/Uploads/Picture/2023/04/13/s6437b6d3d299b.JPG
6337,清狮耳象首形足铜宣德炉,清,一般,,高14.6cm，口径12.4cm，2.639kg,铜器,,https://www.sxhm.com/collections/detail/11407.html,htps:/Uploads/Picture/2023/04/13/s6437b6e8af7c9.JPG
6338,清双虺耳带盖铜宣德炉,清,一般,,通高36.5cm，口径21.5cm，11.750kg,铜器,,https://www.sxhm.com/collections/detail/11408.html,htps:/Uploads/Picture/2023/04/13/s6437b7073b419.JPG
6339,清铜胎雕漆盒,清,二级,,高5.4cm，口径9cm，腹围29.5cm，0.205kg,其他,,https://www.sxhm.com/collections/detail/11409.html,htps:/Uploads/Picture/2023/04/13/s6437b70916f2b.JPG
6340,清百鸟朝凤纹铜奁,清,一般,,高11.6cm，口径12.8cm，1.367kg,铜器,,https://www.sxhm.com/collections/detail/11410.html,htps:/Uploads/Picture/2023/04/13/s6437b7294e2da.JPG
6341,清半跪舞蹈人物纹铜像,清,一般,,高25.9cm，3.338kg,铜器,,https://www.sxhm.com/collections/detail/11411.html,htps:/Uploads/Picture/2023/04/13/s6437b745939da.JPG
6342,清仿成化款人物纹漆雕瓶,清,二级,,高43.2cm，口径22cm，底径17.5cm，3.579kg,其他,,https://www.sxhm.com/collections/detail/11412.html,htps:/Uploads/Picture/2023/04/13/s6437b74d249cc.JPG
6343,清半跪舞蹈人物纹铜像,清,一般,,高29.6cm，5.167kg,铜器,,https://www.sxhm.com/collections/detail/11413.html,htps:/Uploads/Picture/2023/04/13/s6437b761d6ba0.JPG
6344,清铜蟾蜍,清,一般,,高9cm，口径6.5cm，0.965kg,铜器,,https://www.sxhm.com/collections/detail/11414.html,htps:/Uploads/Picture/2023/04/13/s6437b77b54fa9.JPG
6345,清螺钿花卉方盒,清,三级,,长22.5cm，宽13cm，0.024kg,其他,,https://www.sxhm.com/collections/detail/11415.html,htps:/Uploads/Picture/2023/04/13/s6437b77fe4f59.jpg
6346,清牺首铜觥,清,一般,,通高20.1cm，长19.4cm，1.326kg,铜器,,https://www.sxhm.com/collections/detail/11416.html,htps:/Uploads/Picture/2023/04/13/s6437b7966d9e2.JPG
6347,清黑底蝠纹缠枝花漆圆盒,清,一般,,口径46cm，通高13cm，2.390kg,其他,,https://www.sxhm.com/collections/detail/11417.html,htps:/Uploads/Picture/2023/04/13/s6437b7aeb355e.jpg
6348,清铜火药瓶,清,一般,,高6.8cm，0.049kg,铜器,,https://www.sxhm.com/collections/detail/11418.html,htps:/Uploads/Picture/2023/04/13/s6437b7b23b7e7.JPG
6349,明麒麟形铜熏炉,明,三级,,通高26.5cm，1.355kg,铜器,,https://www.sxhm.com/collections/detail/11419.html,htps:/Uploads/Picture/2023/04/13/s6437b7cfd77fe.JPG
6350,清铜鹤,清,一般,,残高38.6cm，2.084kg,铜器,,https://www.sxhm.com/collections/detail/11420.html,htps:/Uploads/Picture/2023/04/13/s6437b7efc3f44.JPG
6351,清汉钟离铜像,清,一般,,高19cm，0.617kg,铜器,,https://www.sxhm.com/collections/detail/11421.html,htps:/Uploads/Picture/2023/04/13/s6437b80b7506e.JPG
6352,清蓝采和铜像,清,一般,,高19.6cm，0.666kg,铜器,,https://www.sxhm.com/collections/detail/11422.html,htps:/Uploads/Picture/2023/04/13/s6437b827b5315.JPG
6353,清雕漆人物纹瓶,清,二级,,高25cm，0.658kg,其他,,https://www.sxhm.com/collections/detail/11423.html,htps:/Uploads/Picture/2023/04/13/s6437b83804d6c.JPG
6354,清铜麒麟,清,一般,,通高16.8cm，通长37.5cm，4.045kg,铜器,,https://www.sxhm.com/collections/detail/11424.html,htps:/Uploads/Picture/2023/04/13/s6437b842e6b2e.JPG
6355,清嵌五铢钱铜带扣,清,三级,,通长9.2cm，0.053kg,铜器,,https://www.sxhm.com/collections/detail/11425.html,htps:/Uploads/Picture/2023/04/13/s6437b85ed870b.JPG
6356,清雕漆人物纹瓶,清,二级,,高25cm，0.623kg,其他,,https://www.sxhm.com/collections/detail/11426.html,htps:/Uploads/Picture/2023/04/13/s6437b8782cb91.JPG
6357,清刘海戏金蟾铜像,清,一般,,通高18.4cm，1.805kg,铜器,,https://www.sxhm.com/collections/detail/11427.html,htps:/Uploads/Picture/2023/04/13/s6437b881b077f.JPG
6358,清分裆铜鼎,清,一般,,通高21.9cm，口径15.1cm，2.600kg,铜器,,https://www.sxhm.com/collections/detail/11428.html,htps:/Uploads/Picture/2023/04/13/s6437b8a3dd4fa.JPG
6359,清刻花漆器小盘,清,一般,,口径11.5cm，底径7.5cm，0.034kg,其他,,https://www.sxhm.com/collections/detail/11429.html,htps:/Uploads/Picture/2023/04/13/s6437b8b8236eb.jpg
6360,清蕉叶纹花口铜瓶,清,一般,,高28.3cm，口径12.5cm，2.470kg,铜器,,https://www.sxhm.com/collections/detail/11430.html,htps:/Uploads/Picture/2023/04/13/s6437b8bcc41d2.JPG
6361,清蕉叶纹花口铜瓶,清,一般,,高28.8cm，口径12.7cm，2.443kg,铜器,,https://www.sxhm.com/collections/detail/11431.html,htps:/Uploads/Picture/2023/04/13/s6437b8d6ba961.JPG
